元表記,出現頻度,正規化後,url,タイプ,チェック,正規化（変更案）,url（変更案）,タイプ
東京大学史料編纂所,734,東京大学史料編纂所,https://ja.wikipedia.org/wiki/東京大学史料編纂所,Keyword,OK,,,
錦絵,720,錦絵,https://ja.wikipedia.org/wiki/錦絵,Keyword,OK,,,
竪絵,676,竪絵,,,OK,,,
大判,648,大判,https://ja.wikipedia.org/wiki/大判,Keyword,OK,,,
なし,616,ナシ,https://ja.wikipedia.org/wiki/ナシ,Keyword,NG,,,
１枚,465,１枚,,,OK,,,
あり,354,アリ,https://ja.wikipedia.org/wiki/アリ,Keyword,NG,,,
風景画,276,風景画,https://ja.wikipedia.org/wiki/風景画,Keyword,OK,,,
風刺画,166,戯画,https://ja.wikipedia.org/wiki/戯画,Keyword,OK,,,
将軍上洛,152,将軍上洛,,,OK,,,
２枚続,147,２枚続,,,OK,,,
戊辰戦争,139,戊辰戦争,https://ja.wikipedia.org/wiki/戊辰戦争,Event,OK,,,
明治元年,106,明治元年,https://ja.wikipedia.org/wiki/明治元年,Keyword,OK,,,
-18680550550,106,-18680550550,,,,,,
３枚続,104,３枚続,,,,,,
維新前後諷刺画　二,104,維新前後諷刺画　二,,,,,,
肖像画,97,肖像,https://ja.wikipedia.org/wiki/肖像,Keyword,OK,,,
災害,93,災害,https://ja.wikipedia.org/wiki/災害,Keyword,OK,,,
地震,90,地震,https://ja.wikipedia.org/wiki/地震,Keyword,OK,,,
安政２年１０月,86,安政２年１０月,,,,,,
-18550100550,86,-18550100550,,,,,,
安政大地震,86,安政の大地震,https://ja.wikipedia.org/wiki/安政の大地震,Keyword,OK,,,
将軍上洛東海道行列図,85,将軍上洛東海道行列図,,,,,,
文久３年４月(18630040550),74,文久３年４月(18630040550),,,,,,
亥四改,74,亥四改,,,,,,
維新前後諷刺画　一,73,維新前後諷刺画　一,,,,,,
禁門の変,73,禁門の変,https://ja.wikipedia.org/wiki/禁門の変,Event,OK,,,
長州征伐,72,長州征討,https://ja.wikipedia.org/wiki/長州征討,Event,OK,,,
安政二年十月地震火事雷漫画集,71,安政二年十月地震火事雷漫画集,,,,,,
中判,68,中判,,,,,,
鯰絵,67,鯰絵,https://ja.wikipedia.org/wiki/鯰絵,Keyword,OK,,,
長州,63,長州,https://ja.wikipedia.org/wiki/長州,Keyword,変更,長州藩,https://ja.wikipedia.org/wiki/長州藩,Place
薩摩,61,薩摩,https://ja.wikipedia.org/wiki/薩摩,Keyword,変更,薩摩藩,https://ja.wikipedia.org/wiki/薩摩藩,Place
東海道絵図,56,東海道絵図,,,,,,
末広五十三次,55,末広五十三次,,,,,,
詞書あり,52,詞書あり,,,,,,
慶応元年閏５月,52,慶応元年閏５月,,,,,,
-18650055550,52,-18650055550,,,,,,
土佐,51,土佐,https://ja.wikipedia.org/wiki/土佐,Keyword,要確認,,,
歴史画,48,歴史画,https://ja.wikipedia.org/wiki/歴史画,Keyword,OK,,,
魁題百撰相,48,魁題百撰相,,,,,,
会津,47,会津,https://ja.wikipedia.org/wiki/会津,Keyword,要確認,,,
とあり,46,とあり,,,,,,
維新前後諷刺画　四,43,維新前後諷刺画　四,,,,,,
尾張,42,尾張国,https://ja.wikipedia.org/wiki/尾張国,Keyword,OK,,,
横絵,42,横絵,,,,,,
